hostname: 163.com address:  123.58.180.8
hostname: ask.com address:  23.212.172.71
hostname: hotmail.com address:  204.79.197.212
hostname: amazon.com address:  176.32.103.205
hostname: adobe.com address:  193.104.215.58
hostname: wordpress.com address:  192.0.78.17
hostname: ifeng.com address:  210.51.19.63
hostname: twitter.com address:  104.244.42.129
hostname: craigslist.org address:  208.82.237.226
hostname: msn.com address:  13.82.28.61
hostname: tudou.com address:  106.11.186.25
hostname: alipay.com address:  110.75.139.5
hostname: mozilla.com address:  63.245.208.194
hostname: weather.com address:  104.119.42.239
hostname: yahoo.co.jp address:  182.22.59.229
hostname: bbc.co.uk address:  151.101.0.81
hostname: sdjjdsaf.com address:  198.105.254.23
hostname: youku.com address:  106.11.47.20
hostname: sohu.com address:  221.179.177.36
hostname: ehow.com address:  23.227.11.12
hostname: seesaa.net address:  13.33.251.156
hostname: andysayler.com address:  138.197.228.157
hostname: myspace.com address:  63.135.90.70
hostname: wmfo.org address:  23.92.21.128
hostname: mail.ru address:  217.69.139.200
hostname: apple.com address:  17.142.160.59
hostname: daum.net address:  203.133.167.16
hostname: rapidshare.com address:  10.11.12.13
hostname: hao123.com address:  61.135.162.10
hostname: nifty.com address:  222.158.213.148
hostname: go.com address:  23.236.60.174
hostname: imageshack.us address:  208.94.3.19
hostname: windows.com address:  104.43.195.251
hostname: cnn.com address:  151.101.1.67
hostname: skype.com address:  104.40.50.126
hostname: ebay.com address:  66.211.181.123
hostname: tianya.cn address:  124.225.65.154
hostname: ameblo.jp address:  104.100.187.7
hostname: pps.tv address:  101.227.188.176
hostname: mywebsearch.com address:  74.113.237.48
hostname: naver.com address:  125.209.222.142
hostname: xunlei.com address:  182.118.18.100
hostname: zynga.com address:  54.200.204.21
hostname: flickr.com address:  69.147.92.11
hostname: 56.com address:  125.88.156.119
hostname: partypoker.com address:  185.37.77.41
hostname: 4shared.com address:  204.155.149.43
hostname: fc2.com address:  54.213.36.26
hostname: hp.com address:  15.72.228.83
hostname: amazon.co.jp address:  52.119.164.121
hostname: paypal.com address:  64.4.250.32
hostname: walmart.com address:  161.170.239.170
hostname: linkedin.com address:  108.174.10.10
hostname: sogou.com address:  118.191.216.42
hostname: kugou.com address:  14.18.236.182
hostname: dailymotion.com address:  195.8.215.136
hostname: tmall.com address:  140.205.94.193
hostname: ebay.de address:  66.211.181.235
hostname: imdb.com address:  52.94.225.248
hostname: ku6.com address:  117.50.1.222
hostname: youdao.com address:  61.135.218.27
hostname: aol.com address:  106.10.218.150
hostname: rakuten.co.jp address:  133.237.61.176
hostname: hotfile.com address:  199.184.144.69
hostname: about.com address:  151.101.129.121
hostname: qiyi.com address:  101.227.188.176
hostname: odnoklassniki.ru address:  5.61.23.11
hostname: pconline.com.cn address:  219.136.245.40
hostname: jp.msn.com address:  13.88.15.24
